"Year","Road.Type","Speed","Junction.Type","Brightness","Wind.Speed","Casualty.Class","Gender","Age","Damage","Severity"
"00","M",78,"1",7920,21,"D","F",33,31668.27,41
"98","M",42,"3",17344,16,"O","M",54,33413.09,31
"98","C",74,"4",86192,23,"D","F",37,6857.34,36
"99","B",88,"1",35509,16,"P","F",36,10165.5,37
"01","M",56,"1",39522,32,"P","F",78,23405.83,65
"01","A",86,"4",117261,17,"D","F",63,19648.98,38
"98","C",68,"4",96093,26,"O","F",45,7188.38,31
"99","B",35,"0",88850,42,"O","F",49,13610.23,30
"02","A",75,"2",96609,10,"D","M",64,16920.27,39
"99","U",84,"1",66019,18,"P","F",23,1457.03,58
"01","M",74,"2",91839,23,"O","F",59,31071.87,34
"98","C",65,"1",87495,15,"P","M",61,9794.38,36
"00","B",57,"1",49946,32,"P","F",23,11530.33,58
"98","B",72,"2",105976,3,"O","M",29,13737.83,47
"02","M",70,"4",118518,14,"O","M",79,32753.89,68
"98","C",81,"3",13295,20,"P","F",30,7918.26,45
"01","M",43,"0",75670,38,"O","F",56,33822.92,32
"99","B",78,"2",86321,21,"O","F",28,10970.23,48
"01","C",37,"0",1715,40,"D","F",37,9572.81,36
"02","M",62,"1",83970,7,"P","M",65,36672.92,41
"98","M",64,"1",62462,5,"D","M",43,34103.57,32
"00","M",86,"3",41205,17,"O","F",59,23141.43,34
"00","C",64,"3",55889,28,"O","F",41,6389.02,33
"00","M",57,"0",8539,32,"P","F",58,26669.05,33
"01","A",33,"3",22684,21,"O","M",62,16665.7,37
"98","M",34,"1",17666,23,"P","M",80,32447.2,70
"00","U",56,"4",72544,32,"O","F",78,2838.24,65
"00","M",58,"0",89907,31,"D","F",76,20201.01,60
"01","M",90,"4",72033,15,"P","F",52,35573.86,30
"99","M",56,"3",41117,32,"P","F",36,21097.96,37
"00","M",56,"4",67540,8,"P","M",38,24842.03,35
"99","B",39,"2",16361,40,"D","F",29,13948.03,47
"02","U",72,"3",88780,24,"D","F",40,2504.87,33
"02","M",81,"4",60725,11,"D","M",44,21097.8,31
"99","M",46,"4",94602,37,"D","F",61,23470.07,36
"01","M",55,"2",35600,5,"D","M",59,31039.02,34
"99","M",45,"3",11968,9,"P","M",39,34556.21,34
"98","M",70,"3",38368,25,"O","F",31,37398.74,44
"00","M",38,"0",77162,41,"O","F",44,22436.43,31
"99","M",53,"4",9316,34,"O","F",73,34923.05,54
"99","M",32,"4",32714,44,"O","F",78,20378.94,65
"00","B",75,"4",115793,22,"P","F",71,13845.93,50
"99","B",83,"4",29296,21,"P","M",18,14307.49,70
"99","M",41,"3",7503,16,"D","M",72,39479.13,52
"01","A",47,"1",4043,16,"O","M",44,15281.45,31
"01","M",82,"3",10185,19,"D","F",19,25685.23,68
"01","M",66,"3",37932,27,"D","F",25,30333.47,54
"02","M",37,"3",36100,42,"O","F",63,23662.63,38
"99","M",55,"1",92454,7,"D","M",66,24239.51,42
"01","A",77,"2",97243,22,"O","F",29,19039.59,47
"02","C",86,"1",28328,15,"D","M",38,4939.11,35
"01","M",75,"3",100472,2,"P","M",43,23863.07,32
"00","B",86,"2",41510,17,"P","F",53,10050.58,31
"02","U",31,"2",20519,44,"O","F",61,2692.62,36
"99","M",67,"0",87084,18,"O","M",47,36910.41,30
"00","M",71,"0",69453,24,"D","F",53,35182.56,31
"00","M",58,"4",49756,31,"O","F",45,26820.86,31
"98","M",77,"4",71214,12,"P","M",50,30869.54,30
"02","M",67,"1",30891,20,"O","M",33,35894.88,41
"02","M",43,"0",5579,21,"P","M",19,21626.94,68
"99","A",52,"4",85486,9,"D","M",75,19738.14,58
"02","M",41,"0",28263,3,"D","M",29,32271.15,47
"02","M",88,"3",2111,16,"D","F",40,34464.78,33
"98","B",78,"3",45699,21,"D","F",69,11555.13,47
"01","C",72,"1",85473,24,"P","M",60,7095.99,35
"98","M",50,"1",80016,18,"D","M",29,26798.33,47
"00","M",44,"1",117808,3,"O","M",67,27714.46,44
"01","B",84,"2",4155,9,"D","M",72,11886.03,52
"00","C",80,"1",93055,9,"P","M",43,4363.47,32
"98","M",86,"3",25378,5,"O","M",75,28881.87,58
"00","C",39,"4",116392,7,"O","M",49,5848.43,30
"00","B",51,"0",74286,23,"D","M",41,10130.53,33
"99","M",76,"4",63197,6,"O","M",65,23601.77,41
"99","M",62,"1",50877,3,"O","M",76,28730.75,60
"01","C",88,"3",8837,8,"P","M",50,8810.13,30
"01","C",32,"0",24101,12,"D","M",56,7076.54,32
"98","C",49,"2",50882,36,"D","F",31,6574.66,44
"99","M",83,"4",72112,18,"D","F",49,28294.52,30
"99","M",47,"1",110631,36,"P","F",47,25521.29,30
"02","M",81,"0",34100,17,"D","M",50,29793.32,30
"00","M",88,"3",103400,16,"P","F",65,34029.05,41
"02","B",73,"1",22887,24,"D","F",35,11825.77,38
"98","C",86,"3",48801,17,"O","F",51,8150.38,30
"00","M",43,"4",57307,38,"D","F",57,39611.71,33
"00","C",74,"4",12538,2,"O","M",70,9842.96,48
"02","M",67,"0",7538,26,"P","F",45,26660.19,31
"99","M",77,"4",1103,10,"P","M",38,25183.12,35
"00","M",34,"2",23761,43,"D","F",26,38414.68,52
"02","M",86,"3",37749,17,"O","F",55,38649.31,32
"00","B",80,"2",62969,6,"O","M",79,14397.39,68
"02","A",55,"4",113050,32,"P","F",74,15499.63,56
"01","M",86,"4",88427,17,"O","F",55,39341.93,32
"01","A",65,"2",64487,24,"D","M",67,19026.12,44
"98","C",87,"3",108277,16,"P","F",78,9529.48,65
"00","M",87,"3",87999,25,"D","M",50,22075.61,30
"02","C",43,"0",7547,38,"D","F",63,7604.55,38
"98","C",41,"1",67887,40,"O","F",74,5522.58,56
"98","B",54,"4",104856,33,"P","F",79,13575.94,68
"02","M",86,"3",76826,17,"O","F",46,34199.19,30
"02","M",75,"2",36976,16,"D","M",19,23266.71,68
"02","M",37,"3",92943,42,"P","F",49,24712.27,30
"00","C",83,"0",62086,25,"D","M",34,7544.91,39
"02","U",60,"0",58556,14,"D","M",61,2817.61,36
"99","C",66,"1",34313,27,"P","F",59,9644.51,34
"98","B",82,"0",75859,10,"D","M",45,14265.38,31
"00","M",73,"4",76117,11,"P","M",21,25996.23,63
"98","M",38,"2",25803,8,"O","M",50,35916.25,30
"01","A",85,"0",81899,16,"O","M",38,16551.04,35
"98","M",89,"4",88278,16,"D","F",74,20585.75,56
"99","M",81,"3",14699,20,"D","F",23,38319.58,58
"01","B",65,"0",112385,28,"D","F",25,12420.02,54
"00","B",59,"0",49542,2,"O","M",28,13728.24,48
"01","M",61,"4",92715,30,"P","F",23,37350.24,58
"00","M",66,"3",118717,27,"O","F",59,25618.96,34
"99","C",52,"2",48465,21,"D","M",76,3741.61,60
"01","B",60,"3",26727,13,"O","M",34,10087.17,39
"01","B",35,"0",43678,11,"O","M",53,10138.16,31
"01","M",85,"0",4104,22,"D","M",70,20093.48,48
"99","M",42,"0",36438,39,"D","F",55,23137.31,32
"00","B",88,"4",63982,16,"O","F",73,12918.5,54
"01","M",78,"4",36606,7,"O","M",77,32557.45,63
"02","M",46,"1",17109,37,"O","F",65,31412.51,41
"98","B",68,"4",47026,2,"P","M",64,10270.77,39
"01","C",32,"2",59000,44,"P","F",45,9698.56,31
"01","B",75,"0",63473,22,"O","F",20,11579.43,65
"98","M",83,"3",46453,18,"O","F",46,28878.34,30
"02","M",69,"0",4398,21,"P","M",22,37806.08,60
"00","M",85,"0",76665,1,"D","M",19,37298.72,68
"02","M",51,"3",49155,34,"D","F",72,35044.67,52
"99","C",48,"2",39135,36,"D","F",54,6357.62,31
"02","M",84,"2",89412,22,"O","M",41,20396.62,33
"01","M",32,"1",33525,19,"P","M",33,23218.33,41
"02","M",36,"2",91649,4,"D","M",40,21353.15,33
"99","A",50,"0",86234,35,"O","F",74,16849.35,56
"00","C",60,"4",29816,30,"P","F",66,3325.31,42
"01","M",38,"3",32532,41,"D","F",34,29589.9,39
"02","B",61,"4",100593,30,"P","F",58,13609.65,33
"02","M",86,"1",72290,14,"D","M",53,25276.53,31
"02","A",71,"1",115157,2,"D","M",41,18222.02,33
"99","M",72,"1",28624,13,"P","M",64,21262.59,39
"02","U",57,"4",114106,24,"D","M",51,619.89,30
"01","B",40,"0",78769,24,"O","M",69,12065.96,47
"00","C",80,"0",119619,20,"O","M",79,3246.36,68
"99","M",53,"3",11264,10,"O","M",44,28693.22,31
"99","M",49,"3",82382,5,"P","M",63,22969.72,38
"99","A",82,"2",78502,19,"O","F",47,16592.98,30
"02","M",66,"1",21859,27,"P","F",55,28680.17,32
"99","M",33,"1",107681,44,"O","F",28,32621.88,48
"02","M",57,"0",111815,32,"O","F",52,32417.88,30
"99","U",45,"4",47384,38,"D","F",39,2810.09,34
"99","M",74,"2",31658,14,"O","M",31,33809.26,44
"99","M",60,"0",111173,14,"D","M",64,25467.97,39
"98","A",64,"2",9640,19,"P","M",75,19128.08,58
"99","C",77,"0",4656,10,"P","M",76,4816.51,60
"99","M",33,"0",7472,44,"P","F",20,30312.49,65
"99","M",55,"0",45874,5,"D","M",67,34702.65,44
"00","M",77,"3",17994,13,"D","M",40,21827.32,33
"00","M",48,"0",66321,36,"O","F",40,25039.83,33
"00","C",85,"4",114539,13,"D","M",58,8604.39,33
"98","M",38,"0",6490,7,"D","M",54,28435.85,31
"98","A",43,"1",16258,9,"P","M",39,17344.34,34
"01","M",54,"4",110789,33,"D","F",79,30830.95,68
"98","M",75,"3",7645,22,"O","F",58,26952.15,33
"00","B",41,"1",113446,20,"O","M",60,13265.82,35
"01","M",33,"0",7018,44,"P","F",67,28567.01,44
"01","U",43,"0",88873,38,"O","F",57,2346.35,33
"00","M",58,"4",33847,31,"O","F",26,29899.35,52
"01","M",61,"2",94894,30,"O","F",65,31942.51,41
"99","M",60,"1",49644,3,"O","M",65,38931.34,41
"01","C",70,"1",12236,25,"O","F",43,4724.74,32
"01","C",52,"1",26186,18,"P","M",60,6121.05,35
"00","C",34,"3",82824,25,"O","M",49,9490.39,30
"02","M",69,"3",1846,7,"D","M",53,30695.71,31
"01","C",38,"3",98382,3,"D","M",79,4640.85,68
"99","U",79,"0",2485,20,"P","F",48,2821.35,30
"99","M",66,"1",89782,27,"O","F",24,34317.59,56
"00","M",79,"1",90068,6,"D","M",20,20139.89,65
"02","M",45,"4",87283,38,"O","F",59,34004.77,34
"02","A",79,"4",89911,20,"O","F",69,15648.36,47
"99","M",34,"1",1755,4,"P","M",63,20750.03,38
"01","M",66,"1",61010,27,"P","F",69,27334.47,47
"98","M",70,"2",68526,25,"O","F",34,22610.44,39
"00","B",61,"1",118250,30,"P","F",23,10392.86,58
"02","M",68,"4",38165,26,"D","F",55,34946.3,32
"02","C",40,"2",109348,10,"D","M",75,6901.75,58
"00","M",82,"0",7414,12,"P","M",66,30474.31,42
"01","M",83,"4",57441,18,"P","F",29,35269.17,47
"98","M",37,"0",64209,25,"O","M",47,35082.69,30
"99","M",70,"3",77964,21,"D","M",35,34204.54,38
"02","M",44,"4",101557,38,"P","F",26,23607.38,52
"98","C",57,"4",22910,15,"D","M",62,3806.59,37
"00","M",80,"2",88473,13,"P","M",27,37852.51,50
"02","C",82,"1",74880,19,"O","F",66,5858.61,42
"00","M",60,"4",86321,30,"O","F",65,30157.64,41
"00","U",79,"3",117868,18,"D","M",24,2422.07,56
"00","M",51,"1",39728,34,"O","F",34,31759.2,39
"01","M",74,"4",71870,14,"D","M",68,37446.58,45
"98","C",48,"1",23421,7,"P","M",76,5062.41,60
"02","B",31,"1",87633,44,"P","F",70,13531.92,48
"98","M",58,"2",6133,1,"O","M",62,33205.52,37
"99","B",43,"2",11159,15,"D","M",74,12588.83,56
"02","M",59,"3",34477,30,"O","F",33,35102.49,41
"00","M",78,"4",32048,5,"P","M",33,23556.87,41
"02","A",81,"0",41577,20,"D","F",20,19067.93,65
"99","B",52,"1",77137,34,"O","F",27,12891.41,50
"02","C",82,"3",89363,19,"D","F",68,5820.13,45
"99","A",69,"3",98485,26,"O","F",51,15217.15,30
"02","M",47,"0",15164,36,"O","F",21,33562.29,63
"98","C",59,"2",57586,30,"P","F",31,7827.05,44
"99","B",58,"0",15475,31,"O","F",63,13901.64,38
"98","C",56,"2",20741,5,"P","M",76,4276.29,60
"98","M",83,"0",6350,10,"P","M",71,31368.35,50
"01","U",52,"3",3086,22,"O","M",49,2613.18,30
"99","C",52,"4",106551,34,"D","F",23,8152.76,58
"00","M",43,"0",68362,7,"D","M",31,34926.93,44
"99","A",77,"3",38127,6,"P","M",46,16914.08,30
"01","M",52,"3",44659,23,"D","M",78,23487.54,65
"01","M",33,"0",2596,44,"P","F",26,37178.22,52
"99","M",37,"0",8276,9,"P","M",79,33252.95,68
"01","M",87,"1",26663,16,"O","F",40,34265.58,33
"99","M",83,"0",22008,1,"O","M",43,22999.43,32
"01","C",53,"4",63893,13,"O","M",29,9667.45,47
"98","M",30,"1",17751,45,"D","F",37,25701.47,36
"99","M",60,"0",2801,30,"P","F",77,39669.14,63
"01","U",48,"0",8669,8,"P","M",59,1691.45,34
"02","U",70,"1",103938,25,"O","F",26,1525.87,52
"01","U",67,"4",114771,26,"O","F",24,2053.86,56
"98","M",59,"1",61404,23,"O","M",71,21067.2,50
"00","U",61,"3",114219,30,"P","F",37,510.48,36
"99","M",64,"3",65331,16,"O","M",74,24299.65,56
"99","C",36,"0",112648,21,"D","M",39,9223.83,34
"99","B",60,"0",97299,2,"O","M",61,11676.6,36
"01","M",30,"0",38334,45,"D","F",78,37621.08,65
"01","A",69,"3",81473,26,"O","F",46,15966.21,30
"99","C",65,"0",94147,28,"O","F",67,7939.49,44
"00","M",71,"2",85081,24,"O","F",38,31929.32,35
"01","A",63,"1",5458,28,"O","F",80,17412.52,70
"99","M",51,"2",2689,34,"D","F",55,21515.76,32
"98","M",33,"1",68784,9,"P","M",27,25822.77,50
"98","U",53,"0",32992,34,"O","F",37,1735.04,36
"00","M",56,"0",96110,11,"D","M",51,26869.92,30
"01","U",70,"2",65656,25,"P","F",32,1626.11,42
"98","A",61,"4",38086,7,"O","M",44,16624.32,31
"00","M",41,"2",11882,40,"O","F",68,26798.62,45
"00","A",59,"1",78882,13,"P","M",41,18833.19,33
"00","C",41,"3",92250,14,"O","M",76,4540.66,60
"99","A",64,"0",1297,2,"P","M",43,17657.78,32
"00","M",68,"0",74211,26,"O","F",51,25693.39,30
"99","M",79,"4",8316,20,"P","F",45,39795.56,31
"98","A",60,"1",66554,6,"P","M",30,18610.49,45
"98","M",37,"2",37167,15,"O","M",61,27252.29,36
"99","M",69,"0",96079,21,"O","M",46,27711.97,30
"01","A",79,"2",86346,8,"O","M",47,19331.35,30
"98","U",83,"0",5787,22,"P","M",40,2123.82,33
"98","M",66,"2",71243,27,"P","F",37,25588.24,36
"99","M",49,"2",17204,36,"P","F",63,29510.63,38
"02","C",48,"4",72297,36,"D","F",49,4826.07,30
"98","C",47,"4",14731,36,"O","F",33,5105.84,41
"02","M",81,"0",98317,20,"O","F",33,24398.22,41
"01","M",32,"3",24487,13,"D","M",35,29901.2,38
"98","M",35,"2",90164,42,"D","F",73,30763.74,54
"98","C",48,"4",10853,36,"D","F",21,6390.2,63
"00","B",40,"1",24758,17,"P","M",31,13624.23,44
"99","U",81,"1",90756,20,"D","F",43,1861.95,32
"00","M",30,"2",76164,45,"O","F",49,36225.15,30
"98","C",67,"1",77722,26,"O","F",46,5052.64,30
"00","C",61,"3",8579,30,"P","F",19,7640.46,68
"02","B",36,"1",108298,9,"O","M",63,10362.23,38
"01","B",31,"4",49863,5,"D","M",44,11099.61,31
"01","M",32,"3",113670,44,"P","F",21,25790.77,63
"01","C",83,"1",73758,9,"P","M",42,4463.46,32
"02","M",74,"4",34357,23,"D","F",39,27063.76,34
"98","U",81,"4",24098,20,"O","F",76,2700.48,60
"02","M",73,"4",88180,10,"O","M",77,36794.51,63
"98","M",45,"2",101245,14,"D","M",28,25162.15,48
"01","M",51,"4",6066,34,"O","F",35,30660.55,38
"01","C",61,"2",118270,19,"O","M",75,4993.74,58
"00","M",83,"1",79391,18,"P","F",39,38552.46,34
"00","C",45,"2",107798,13,"P","M",29,9379.57,47
"98","M",53,"4",44384,7,"D","M",75,34809.22,58
"99","M",44,"4",20864,5,"D","M",49,38654.51,30
"02","B",36,"3",73596,42,"D","F",32,12388.59,42
"01","M",62,"4",14291,29,"O","F",54,36226.32,31
"01","B",57,"0",61264,32,"O","F",36,12140.95,37
"99","M",52,"0",6446,34,"P","F",48,33468.15,30
"98","M",79,"0",32907,13,"D","M",58,38775.19,33
"98","B",64,"0",78258,28,"D","F",41,14154.72,33
"01","C",48,"0",589,36,"P","F",46,6745.52,30
"98","M",75,"4",34496,22,"D","F",43,26286.5,32
"02","C",63,"4",42080,28,"D","F",66,6900.44,42
"02","C",66,"0",4494,27,"P","F",76,4266.06,60
"99","C",55,"2",75716,2,"P","M",71,8939.41,50
"02","U",66,"0",9088,27,"P","F",22,1621.96,60
"02","B",83,"3",47766,6,"O","M",72,10602.16,52
"98","C",89,"2",84901,16,"P","F",33,5907.82,41
"98","M",54,"4",107701,13,"P","M",47,35735.31,30
"01","B",57,"2",75060,32,"P","F",46,13839.49,30
"99","C",51,"2",62233,34,"D","F",64,6100.35,39
"02","C",52,"0",42184,2,"D","M",23,6146.15,58
"98","B",48,"4",10649,24,"D","M",71,11873.74,50
"99","M",78,"0",6079,21,"P","F",67,36080.36,44
"01","M",49,"1",78086,36,"P","F",42,23633.18,32
"99","M",87,"0",34871,16,"O","F",62,32367.14,37
"99","C",84,"1",79088,5,"O","M",22,5952.81,60
"01","M",41,"0",74868,40,"D","F",69,30494.54,47
"00","B",52,"3",108809,15,"O","M",49,13378.17,30
"01","A",43,"2",26734,38,"P","F",55,19685.93,32
"01","U",31,"0",85661,17,"D","M",40,1247.6,33
"98","M",66,"1",58366,12,"D","M",65,27367.88,41
"01","B",45,"1",37191,6,"D","M",29,13727.92,47
"00","M",41,"4",43321,2,"P","M",19,31984.03,68
"01","M",53,"3",91413,19,"P","M",28,36334.78,48
"00","C",69,"4",106987,15,"P","M",48,6747.55,30
"98","M",40,"3",89229,40,"O","F",55,24862.44,32
"01","M",74,"0",4025,12,"D","M",21,31546.45,63
"02","M",54,"2",6934,33,"O","F",60,31524,35
"01","M",80,"0",34700,13,"D","M",37,27020.54,36
"01","M",43,"1",75546,17,"P","M",57,23917.99,33
"01","M",45,"2",48300,23,"P","M",54,37870.69,31
"99","B",72,"4",108254,24,"O","F",48,10175.65,30
"02","B",87,"0",35199,18,"D","M",80,11493.35,70
"00","C",69,"3",114051,26,"O","F",63,7069.22,38
"02","C",84,"2",68644,18,"O","F",54,9442.9,31
"00","M",83,"0",34442,18,"D","F",57,24631.28,33
"98","M",36,"4",70318,2,"D","M",21,30446.98,63
"02","M",76,"1",893,22,"D","F",29,35242.87,47
"99","B",86,"1",87063,17,"D","F",42,12621.8,32
"98","C",44,"4",67266,5,"O","M",47,9547.17,30
"02","C",65,"0",1991,28,"P","F",80,5142.26,70
"02","A",71,"2",44420,8,"D","M",61,15755.18,36
"01","M",86,"4",115861,14,"D","M",44,22698.29,31
"01","B",81,"0",3963,22,"P","M",26,14787.04,52
"98","M",72,"4",93389,24,"P","F",70,29818.05,48
"01","C",85,"0",40189,18,"O","F",49,3974.25,30
"02","M",75,"3",1105,7,"O","M",65,30876.66,41
"02","B",52,"2",87827,24,"P","M",76,14392.76,60
"01","B",48,"3",110906,36,"D","F",75,12601.6,58
"01","M",78,"4",52921,25,"D","M",25,24876.75,54
"00","M",88,"3",116851,8,"O","M",25,27441.92,54
"01","M",49,"4",80460,36,"O","F",30,29800.08,45
"00","A",89,"3",10674,16,"O","F",65,15375.51,41
"98","A",65,"2",67899,28,"D","F",49,15022.13,30
"01","M",42,"4",100824,39,"D","F",69,22232.57,47
"99","B",73,"3",97999,24,"D","F",43,10597.05,32
"98","U",32,"0",28085,15,"D","M",77,1019.99,63
"00","M",57,"3",9058,24,"O","M",51,37074.77,30
"99","M",30,"1",91882,45,"O","F",60,34945.6,35
"00","M",81,"4",656,21,"P","M",26,31683.54,52
"98","M",75,"3",12248,22,"O","F",41,20882.75,33
"99","A",78,"1",110369,24,"O","M",76,18427.94,60
"01","B",37,"2",12804,42,"O","F",36,14262.87,37
"98","M",47,"3",70908,36,"D","F",38,23570.29,35
"00","B",58,"1",37801,31,"O","F",41,12160.08,33
"98","C",82,"2",30128,19,"D","F",36,3602.25,37
"02","M",67,"0",1428,26,"P","F",70,21852.15,48
"98","A",50,"1",109161,14,"P","M",68,16307.43,45
"99","M",81,"3",2592,20,"D","F",24,26456.8,56
"02","M",46,"4",634,37,"P","F",22,32593.53,60
